,price,name,brand,country_state,region,appellation,varietal,style,abv,taste,body,wine_adv_rating,customer_avg_rating,customer_total_ratings
0,19.99,"Chateau Roques Mauriac Bordeaux Superieur, 2015",Chateau Roques Mauriac,France,Bordeaux,Bordeaux/Bordeaux Superieur,Bordeaux Blend,Fresh,13.5,"Raspberry, Cinnamon",Medium-bodied,88,4.2,25
1,69.99,"Alta Nova Cabernet Napa, 2018",Alta Nova,California,Napa Valley,,Cabernet Sauvignon,Concentrated,14.5,"Blackberry, Raspberry, Oak",Full-bodied,94,3.9,53
2,99.99,"Amici Cabernet Sauvignon Napa Reserve, 2019",Amici,California,Napa Valley,,Cabernet Sauvignon,Concentrated,14.7,"Blackberry, Red Fruit",Full-bodied,96,4.4,75
3,44.99,"Stack House Cabernet Sauvignon Napa Valley, 2017",Stack House,California,Napa Valley,,Cabernet Sauvignon,Concentrated,14.9,"Blackberry, Raspberry, Oak",Full-bodied,92,4.8,28
4,54.99,"Tether Cabernet Sauvignon Napa Valley , 2019",Tether,California,Napa Valley,,Cabernet Sauvignon,Elegant,14.8,"Raspberry, Cherry",Full-bodied,92,4.4,34
0,49.99,"Titus Cabernet Sauvignon Napa Valley, 2014",Titus,California,Napa Valley,,Cabernet Sauvignon,Concentrated,14.5,"Blackberry, Oak",Full-bodied,90,4.6,75
1,22.99,"Pallas Old Vine Garnacha Special Selection , 2013",Pallas,Spain,Calatayud,,Grenache,Elegant,15.5,"Black Fruit, Lavender",Medium-bodied,91,4.3,28
2,14.99,"Tesoro de Bullas Monastrell, 2009",Tesoro de Bullas,Spain,La Mancha,,Mourvedre/Monastrell,Elegant,14,"Blueberry, Spice",Medium-bodied,90,3.8,26
3,17.99,"Los Poetas Libertad Blend, 2018",Los Poetas,Argentina,Mendoza,,Red Blend,Elegant,14.5,"Red Fruit, Currant, Toast",Medium-bodied,90,4.3,24
4,19.99,"Chateau de Nages Heritage Vieilles Vignes, 2016",Chateau De Nages,France,Rhone,Costieres de Nimes,Rhone Blend,Intense,15,"Black Cherry, Cassis",Medium-bodied,92,4.2,82
0,41.99,"Clos St Michel Chateauneuf-du-Pape, 2017",Clos Saint Michel,France,Rhone,Chateauneuf-du-Pape,Rhone Blend,Concentrated,14.5,"Raspberry, Spice",Full-bodied,95,4.4,40
